id,ship_name,flag_state,date,timber_tons,tar_tons,pitch_tons,hemp_tons,flag_hopping,raw_text,evasion_tactic_verified
HCA_32_5708,Baltic Star,Neutral (Danish),1809-01-24,0,425,0,335,1,"Manifest of the ship Baltic Star sailing under Neutral (Danish) colors. Dated 1809-01-24. Cargo consisting of: 425 tons of tar, 335 tons of hemp. Note: Suspicious registry papers indicate prior British ownership.",True
HCA_32_3069,James Lovett,Dutch,1809-11-23,0,0,226,0,0,Manifest of the ship James Lovett sailing under Dutch colors. Dated 1809-11-23. Cargo consisting of: 226 tons of pitch.,False
HCA_32_4422,Baltic Star,Dutch,1808-10-04,407,0,0,154,0,"Manifest of the ship Baltic Star sailing under Dutch colors. Dated 1808-10-04. Cargo consisting of: 154 tons of hemp, 407 tons of timber.",False
HCA_32_5578,Sea Gull,Neutral (Danish),1807-07-20,142,0,0,0,0,"Manifest of the ship Sea Gull sailing under Neutral (Danish) colors. Dated 1807-07-20. Cargo consisting of: 204 tons of wheat, 142 tons of timber.",False
HCA_32_3929,Sea Gull,Dutch,1808-06-06,0,0,0,0,0,Manifest of the ship Sea Gull sailing under Dutch colors. Dated 1808-06-06. Cargo consisting of: 358 tons of wheat.,False
HCA_32_2505,James Lovett,Dutch,1808-07-27,0,0,0,71,0,Manifest of the ship James Lovett sailing under Dutch colors. Dated 1808-07-27. Cargo consisting of: 71 tons of hemp.,False
HCA_32_2731,Baltic Star,British,1807-05-16,0,0,0,450,0,Manifest of the ship Baltic Star sailing under British colors. Dated 1807-05-16. Cargo consisting of: 450 tons of hemp.,False
HCA_32_2325,James Lovett,British,1809-01-09,0,0,0,0,0,"Manifest of the ship James Lovett sailing under British colors. Dated 1809-01-09. Cargo consisting of: 132 tons of wheat, 465 tons of wheat, 313 tons of iron.",False
HCA_32_7521,St. Petersburg Trader,French,1807-05-05,0,0,409,0,0,"Manifest of the ship St. Petersburg Trader sailing under French colors. Dated 1807-05-05. Cargo consisting of: 449 tons of iron, 386 tons of wheat, 409 tons of pitch, 169 tons of iron.",False
HCA_32_6002,Flora,Neutral (Swedish),1807-08-04,0,0,0,487,0,"Manifest of the ship Flora sailing under Neutral (Swedish) colors. Dated 1807-08-04. Cargo consisting of: 467 tons of iron, 199 tons of iron, 87 tons of iron, 487 tons of hemp.",False
HCA_32_4627,Merchant of Venice,French,1809-10-26,0,0,0,0,0,"Manifest of the ship Merchant of Venice sailing under French colors. Dated 1809-10-26. Cargo consisting of: 231 tons of iron, 460 tons of iron.",False
HCA_32_5233,Merchant of Venice,Neutral (Swedish),1808-03-11,0,0,0,0,0,"Manifest of the ship Merchant of Venice sailing under Neutral (Swedish) colors. Dated 1808-03-11. Cargo consisting of: 440 tons of iron, 53 tons of wheat.",False
HCA_32_8448,Flora,French,1806-11-18,0,429,163,356,0,"Manifest of the ship Flora sailing under French colors. Dated 1806-11-18. Cargo consisting of: 429 tons of tar, 163 tons of pitch, 332 tons of pitch, 356 tons of hemp.",False
HCA_32_9615,St. Petersburg Trader,British,1808-02-27,0,290,0,0,0,"Manifest of the ship St. Petersburg Trader sailing under British colors. Dated 1808-02-27. Cargo consisting of: 290 tons of tar, 364 tons of wheat, 255 tons of tar, 121 tons of wheat.",False
HCA_32_6356,Merchant of Venice,Neutral (Swedish),1807-09-14,0,170,488,271,1,"Manifest of the ship Merchant of Venice sailing under Neutral (Swedish) colors. Dated 1807-09-14. Cargo consisting of: 170 tons of tar, 488 tons of pitch, 271 tons of hemp. Note: Suspicious registry papers indicate prior British ownership.",True
HCA_32_3157,Flora,Neutral (American),1807-11-16,260,0,0,0,0,Manifest of the ship Flora sailing under Neutral (American) colors. Dated 1807-11-16. Cargo consisting of: 260 tons of timber.,False
HCA_32_4452,St. Petersburg Trader,Neutral (Swedish),1806-10-13,257,287,0,0,0,"Manifest of the ship St. Petersburg Trader sailing under Neutral (Swedish) colors. Dated 1806-10-13. Cargo consisting of: 287 tons of tar, 257 tons of timber.",False
HCA_32_2497,Baltic Star,Dutch,1808-02-12,0,0,0,0,0,"Manifest of the ship Baltic Star sailing under Dutch colors. Dated 1808-02-12. Cargo consisting of: 364 tons of wheat, 473 tons of wheat, 246 tons of wheat.",False
HCA_32_2581,James Lovett,British,1808-07-27,0,255,0,0,0,"Manifest of the ship James Lovett sailing under British colors. Dated 1808-07-27. Cargo consisting of: 255 tons of tar, 115 tons of tar.",False
HCA_32_6563,Sea Gull,Neutral (American),1806-10-07,498,0,0,321,1,"Manifest of the ship Sea Gull sailing under Neutral (American) colors. Dated 1806-10-07. Cargo consisting of: 321 tons of hemp, 498 tons of timber. Note: Suspicious registry papers indicate prior British ownership.",False
